,customer_name,country,status,CompanyType,address,url,email,phone,source,contacted_y_n,contact_date,contact_results,notes
13,Krajina Medicina Group,Bosnia and Herzegovina,Potential Customer,Distributor,,,medicina.info@krajinagroup.com,+387 51/926-779,Fair,n,,,They said their company has 5 different divisions focusing in medicines veterinary and the medical devices 1 one them being disposables. They operate mostly in Bosnia but Serbia Montenegro Macedonia and Kosovo as well. Said they applied to more than 200 tenders last year both public and private. I told Simone that in Serbia and Macedonia there is registration and 1 company is registering our Skin Markers there and another in Macedonia all of our products. In Kosovo we have an exclusive distributor but no one in Montenegro. We can offer in Bosnia but not our Imp. Brushes. 
14,Grupo Perla Tenda,Brazil,Potential Customer,,,www.grupoperlatenda.com,ntanb01@hotmail.com,556232734330,Fair,n,,Cengiz found in Medica 2018. Nex Italy. Longood from China. the buy from them. Brushes. Both manufacturers and distributors,
15,3 med,Bulgaria,Potential Customer,Distributor,,https://3med.net,office@3med.net,(+359) 2 92 000 66,Internet,y,8/9/18,couldn't reach via phone. 09.08.2018 - Emailed catalog. links.. 07.09.2018 - Emailed Tender Scopy Drape Sep 7. 01.10.2018 - emailed IV Flow 500 tender,
16,Agarta,Bulgaria,Potential Customer,Distributor,,https://agarta.bg,,359 2 974 39 73,,y,,25.10.18 - talked to Elena Tudorova. She doesn't know much and offered to relate my message to her boss. Mariana Marinova. Sent Tender table. Tender 23Oct Spirometer filter. Tender 1Oct IV flow. catalog. Elena said she would show my email to Mariana (the previous ones simply were not seen),
17,Alned,Bulgaria,Potential Customer,Distributor,,http://www.alned.com,,(+359 88) 851 94 24,,n,,,
18,Bulmar ML,Bulgaria,Potential Customer,Distributor,,http://bulmarml.bg,office@bulmarml.bg,359 2 85 58 345,,y,,25.10.18 - talked to Julian Filev. Sent Tender table. Tender 23Oct Spirometer filter. Tender 1Oct IV flow. catalog. He doesn't know if they are going to Medica. will ask his manager and get back to me.,
19,Bulmed 2000 Ltd.,Bulgaria,Potential Customer,Distributor,,,trade@bulmed2000-bg.com,359 9580-481,Internet,y,,,
20,Chim Trade,Bulgaria,Potential Customer,Distributor,,http://chimtrade.info,,359 2 953 1310,,y,,25.10.18 - talked to Nadezhda Bozakova. Got her email. sent Tender table. Tender 23Oct Spirometer filter. catalog,
21,Chimtex,Bulgaria,Potential Customer,Distributor,,http://www.chimtex.com,,359 888 791 362,,y,,25.10.18 - Talked to Kiril. he doesn't know about Medica plans. Sent Tender table. Tender 23Oct Spirometer filter. Tender 1Oct IV flow. catalog to his manager. Daniela Velinova.,
22,Ecos Medica Ltd,Bulgaria,Potential Customer,Distributor,,www.ecosmedica.com,ecosmedica@ecosmedica.com,359 24916849,Internet,y,,27/12/18 cold called and sent an email with the prezi. catalogue and leaflets,
23,Helmed,Bulgaria,Potential Customer,Distributor,,https://helmedbg.com,,359 888 281 495,,y,,25.10.18 - talked to Valentin Krastes. Got his email. sent Tender table. Tender 23Oct Spirometer filter. Tender 1Oct IV flow. catalog. They are going to Medica as visitors this year. Said he would get back to me after they check our catalog.,
24,Inter Business Ltd 91,Bulgaria,Potential Customer,Distributor,,www.interbusiness-bg.com,office@interbusiness-bg.com,359 29446363,Internet,n,,,
25,Medilink BG,Bulgaria,Potential Customer,Distributor,,https://medilinkbg.com,,359 886 81 96 09,,y,,25.10.18 - talked to Konstantin Karagihyan. Got his email. sent Tender table. Tender 23Oct Spirometer filter. Tender 1Oct IV flow. catalog. They are going to Medica. asked for our hall info. Said he would ask his manager to arrange a meeting with Cengiz at Medica.,
26,MTE,Bulgaria,Potential Customer,Distributor,,http://www.mte-bg.com,,359 2 971 20 61,,y,,25.10.18 - talked to Ekaterina Petkova. Got her email. sent Tender table. Tender 23Oct Spirometer filter. catalog. Her manager is going to Medica as a visitor. asked for our stand info. Offered her to arrange a meeting between Cengiz and her boss at Medica.,
27,Ortomed Trading Ltd,Bulgaria,Potential Customer,Distributor,,,trading.orthomed@gmail.com,359 889899292,Contract Award,n,,,
28,Paramedica,Bulgaria,Potential Customer,Distributor,l.86 fl.4 app.10 dk . Mladost 1797 Sofia,http://paramedica-bg.com,office@paramedica-bg.com,359 (0) 2 873 3416,Contract Award,n,,,Won lot for camera covers/light handle covers
29,Solomed,Bulgaria,Potential Customer,Distributor,,http://www.solomed.eu/store/index.html,gdelchev@solomed.eu,359 29555600,Contract Award,n,,,
30,Sopharma Trading AD,Bulgaria,Potential Customer,Distributor,,www.sopharmatrading.bg,office@sopharmatrading.bg,359 24219069,Internet,n,,,
31,Vega Medikal,Bulgaria,Potential Customer,Distributor,,http://www.vegamedical.bg/en,sinapov@vegamedical.eu,359 297 140 08,Internet,y,14/2/2019,Cold called and sent an e-mail.,
32,BultechnoMed,Bulgaria,Potential Customer,Distributor,91 Bogomil str 4017 Plovdiv BULGARIA,,office@bultechnomed.bg,+359 32 64 98 03,Fair,n,,,2 guys came together the last day. Only stopped for a second but seemed very serious and new exactly what they were looking for. As soon as they saw our MDs they stopped and started asking questions. Said they will contact us and send quantities.
33,S & S Ltd,Bulgaria,Potential Customer,Distributor,,,s_and_sltd@abv.bg,35 929 442 008,Internet,y,,27/12/18 Sent cold email with prezi. catalogue and leaflets,
34,Novimed Ltd,Bulgaria,Potential Customer,,,,novimed@inet.bg,35 924 219 069,Internet,y,,27/12/18 sent cold email with the catalogue. prezi and leaflets.,
35,Zubimed,Chile,Potential Customer,Distributor,,,gerencia@zubimed.cl,,Internet,y,,sent one email. they answered but they never replied back,
36,i2 MH,Côte d'Ivoire,Potential Customer,Distributor,Unnamed Road Yamoussoukro Côte d'Ivoire,,,,Fair,n,,,They are the distributor for Polyclinique Farah the main hospital in their country. They are specifically interested in our drapes. However we can also offer them our MVAs as it is a good product for their region. / Called him and asked me to send the catalogue and i proposed the MVA 
37,Aminomed,Croatia,Potential Customer,Distributor,,http://www.aminomed.hr,davor.jurisa@aminomed.hr,385 1 626 4982,Contract award,n,,,
38,AnalyticPharma,Croatia,Other,,,http://www.analyticpharma.hr,,,Contract award,n,,,Found through a contract award as one of the bidders. They do not offer products but consultation for the market of medical devices/supplies in Croatia. Maybe they participate in bids simply to find market prices?
39,Medicina-Promet,Croatia,Potential Customer,Distributor,,http://www.medicina-promet.hr,,385 /1 2302 103,Contract award,n,,,
40,Pharmamed,Croatia,Potential Customer,Distributor,,www.pharmamed.si,info@pharmamed.si,386 (0)1 541 22 30,Contract award,y,,Contacted them by phone and sent an e-mail with the catalogue. prezi and leaflets attached.08/11/18.,
41,Sanyko,Croatia,Potential Customer,Distributor,,http://www.sanyko.hr/index.php,sanyko@sanyko.hr,385 1 2331 041,Contract award,y,,Contacted them by phone and sent an e-mail with the catalogue. prezi and leaflets attached.08/11/18.,
42,Stiv Trade,Croatia,Potential Customer,Distributor,,http://stivtrade.hr,info@stivtrade.hr,WhatsApp: 385 98 622 883,Contract award,n,,,
43,TEHNOMEDIKA,Croatia,Potential Customer,Distributor,,https://tehnomedika.hr,tehnomedika@tehnomedika.hr,385 1 3730 535/385 137 582 12,Contract award,y,20/2/2019,Cold called and sent them an e-mail.,
44,Apgar,Denmark,Potential Customer,Distributor, Ringager 24    2605 Brøndby    Denmark ,http://www.apgar.dk/Apgar_Engelsk/default_eng.htm,cm@apgar.dk - Christian Markussen Director/sales manager for surgery & urology,45 4034 4822,Internet,n,,,
45,Sacomed,Denmark,Potential Customer,Distributor,Midtager 29 2605 Brøndby Danmark,https://sacomed.com,info@sacomed.com ,45 30616373,Contract Award,n,,,Won tender for gynecology supplies (in SWE)
46,IVUS,Denmark,Potential Customer,,,,info@ivus.dk,4548475070,Internet,y,,Cold called and they said they would like to receive an email with the product catalogue.,
47,Glorious-enterprises,Denmark,Potential Customer,,,,glorious@glorious-enterprises.dk,4543622693,,y,,20/12/18 Called them and left a message on the answering machine.Called again 2/1/19. no reply.,
48,Abena,Denmark,Potential Customer,Distributor,Kornmarksvej 15-19  DK-2605 Brøndby ,https://mediqdanmark.dk,,45 7431 1818,Referral,y,,30/11/18: Called. wasn't in the office. Told she is hard to reach by phone. gave email address.,Recommened to us by another Danish company. 
49,Mediq denmark,Denmark,Current Customer - Medbar,Distributor,,,,4536379200,Referral,y,,30/11/18: Called. thought there wasn't enough time to apply for the tender if it's already announced. said she would forward my email to surgery dept. ,Recommended to us by another Danish company.
50,SSI Diagnostica,Denmark,Potential Customer,,,,info@ssidiagnostica.com,4548299100,Internet,y,,20/12/18 Called them and left a message on the answering machine.,
51,Melitek,Denmark,Potental Partner,,,,info@melitek.com,4570250255,,y,,,They are not interested in the tender
52,Nomepa,Denmark,Potential Customer,Distributor,,http://www.nomepa.com,info@nomepa.com,45 7020 7173,Internet,n,,18/12: Tried calling the number twice. call failed,
53,AB Technology,Estonia,Other,,,,abt@abt.ee,372 652 9505,Internet,y,,19/12/18 Cold called and sent an email with prezi. catalogue and leaflets.,
54,Walki Medical,Finland,Potential Customer,Distributor,Tikinmaankatu 15 FI-37630 Valkeakoski Finland ,http://www.walkimedical.fi/tmp_walkimedical_site_1.asp?sua=1&lang=1&s=1,pia.kekkonen@walkimedical.fi - Pia Kekkonen Sales Manager ,358 50 336 6440,Contract Award,y,,17/1/19 Cold called. they hung up on me. Called back. briefly explained who we are. what we do etc. and when they tried to transfer my call the phone went dead. Decided to just send an email.,No drapes some current Medbar products
55,Fine Medical,Finland,Current Customer - Medbar,Distributor,Piispanristintie 1 20760 Piispanristi Finland,http://www.finemedical.fi/english.html#products,mika.kujala@finemedical.fi,358102312890,Contract Award,y,,23/1/19 Cold called and sent an e-mail and tender details. ,Supplied by Premier Guard
56,Megra Medical,Finland,Potential Customer,Distributor,Megra Oy Insinöörinkatu 7 00880 HELSINKI,https://megra.fi,marita.smolander@megra.fi,358 104 223 700,Contract Award,y,,23/1/19 Cold called and sent an e-mail and also tender details.,
57,OY Vestek AB,Finland,Potential Customer,Distributor,Martinkuja 4 02270 Espoo Finland,http://www.vestek.fi/en/terveydenhuollon-tarvikkeet,ilpo.mustalahti@vestek.fi,358 988 701 262,Contract Award,y,,23/1/19 Cold called and sent an e-mail and tender details.,
58,Mekalasi,Finland,Potential Customer,Distributor,Atomitie 2 00370 Helsinki Finland,https://www.mekalasi.fi,,358 500 716 100/ 358 500 655 607,Contract Award,y,,23/1/19 Cold called 2 area sales managers and neither of them spoke English.,
59,Timik Medical,Finland,Potential Customer,Distributor,Timik Medical Oy Innopark 2 Vankanlähde 7 13100 Hämeenlinna,http://www.timik.fi,info@timik.fi,358 (0) 75 75 808 60,Contract Award,n,,,
60,Cormedica,France,Potential Customer,Distributor,,http://www.cormedica.fr,contact@cormedica.fr,04.74.94.34.43,Internet,n,,,
61,Abs-Albyn Medical,France,Potential Customer,Distributor,BP 10 Parc d'activité  88470 Saint-Michel sur Meurthe,http://www.abs-albynmedical.com/en,,33 329 58 46 46,Fair,n,,,French guy with a woman from the UK Elaine. Want to compete with Cantel Medivators Cleanscope Endoseal Bag in France. We gave them a sample they seemed serious. They HQ is in Spain so I told them maybe they can try the product in Spain too since Prim said they could not find a market for it. 
62,Pouret Medical ,France,Potential Customer,Manufacturer,20 rue Georges Boisseau  92110 CLICHYFRANCE,,info@pouretmedical.com,33 1 41 40 42 42,Internet,n,,,
63,Atlas Medical,Georgia,Potential Customer,Distributor,129 Nutsubidze str. Tbilisi Tbilisi 0186 GE,https://www.linkedin.com/company/atlas-medical-llc,,,Internet,n,,,
64,Deltamed,Georgia,Potential Customer,Distributor,Tbilisi 0144 Cinandali Ave. 9 Hospital,http://deltamedgeorgia.com/cat1_eng.php?catid=21,info@deltamedgeorgia.com,(+995) 32 2920 910,Internet,y,,6/2/19 Cold called.,
65,Geo Latex,Georgia,Potential Customer,Wholesaler Local,Tbilisi Didi digomi d. Tribulation 30,http://www.geolatex.ge/?c_id=9&b_id=24#products,info@geolatex.ge,995 322596766,Internet,n,,,
66,Harmed,Georgia,Potential Customer,Distributor,Gorgasali str 111A. Tbilisi GEORGIA,http://harmed.ge/en/about_us.php,info@medpharmacygroup.ge,(+995) 322 75-41-14/995 577 759 525,Internet,y,20/2/2019,Cold called and sent an e-mail.,
67,Ivermedi,Georgia,Potential Customer,Distributor,№2 Nodar Bokhua I turning Tbilisi 0159 Georgia.,http://www.ivermedi.com/index.php,,(+995 32) 2530 560,Internet,n,,,
68,Medhouse,Georgia,Potential Customer,Wholesaler Local,,http://medhouse.ge/index.php/ge/disposables.html,shop@medhouse.ge,995 32 294 47 24,Internet,n,,,
69,Impantis,Germany,Potential Customer,Wholesaler Local,Brahestraße 16 04347 Leipzig Germany,https://www.implantis.eu,,(0180) 5 90 75 90,Fair,n,,,Their main focus is Dentistry. Said they are being supplied via Omnia (Italy) Chinese and Czech Rep. company. Said they get CCC Mavi Sebs from Dahlhausen which is good as they are not a manufacturer and we can for sure offer better pricing. Asked for the Accordion Folded Dental Cover OEM with Mavi Sebs wth his brand on the Cardboard. Said if not then maybe our standard 14x250cm with his brand. We told him we can do it but the MOQs would need to be higher. Asked if we can make it shorter. this is not a problem. Gave him samples of Accordion and CCC CCC with Mavi Sebs and PLHC.
70,Geratherm Respiratory GmbH,Germany,Potential Customer,,,,f.lechner@geratherm-respiratory.com,49 971 7857 0430,Internet,y,,16/1/2019 cold called and sent an email with the catalogue. leafletsand prezi.,
71,IntelligENT Medical,Greece,Potential Customer,Distributor,Tharypou 15 Neos Kosmos Postal Code 11745 Athens,http://www.intelligent-medical.gr/index.php?lang=en,,30.210.9234250,Contract Award,n,,,They are supplied by Spiggle & Theis (DE) for mic drapes cam covers c-arm etc. 
72,Ananiadis Medical,Greece,Potential Customer,Wholesaler Local,Χ.Μούσκου 21 τκ 54634 Θεσσαλονίκη,https://ananiadis-medical.gr,info@ananiadis-medical.gr,2310 200467,Contract Award,n,,,
73,BBD NIK. LAINIOTIS SA.BE,Greece,Potential Customer,Distributor,Drepano Achaia 26504 2610 992707 2610 994686 2610 990 648 info@lainiotis.gr,http://www.lainiotis.gr/products.html,info@lainiotis.gr,2610 992707,Contract Award,n,,,
74,Ilta Medical,Greece,Potential Customer,Distributor,3o ΧΛΜ Π.Ε.Ο ΚΑΤΕΡΙΝΗΣ ΘΕΣΣΑΛΟΝΙΚΗΣ ΚΑΤΕΡΙΝΗ Τ.Κ 60100 ΤΑΧΥΔΡΟΜΙΚΗ ΘΥΡΙΔΑ 261,http://www.iltamedical.com/index.php?page=1&act=viewCat&catId=19,iltamed@otenet.gr,23510 79979,Contract Award,n,,,
75,Ellenko SA,Greece,Potential Customer,Distributor,Athena 20 - 144 51 Metamorfosi Attica,http://www.ellenko.gr/el-gr/Document.aspx-ElementID=f9c31089-8b47-4479-b784-471a10a98034.htm,ellenko@otenet.gr,210 2850671-3,Contract Award,n,,,No drapes product line has potential for them
76,Milonas Health S.A.,Greece,Potential Customer,Distributor,Grammou 21 Koropi 19400 ATTICA,https://www.milonashealth.gr/index.php/el,info@milonashealth.gr,302109902061,Contract Award,y,20/2/2019,Cold called and sent an e-mail.,
77,Violak International A.E.,Greece,Potential Customer,Wholesaler Local,72 Ir. Politechniou Zografou 157 72,https://www.violak.gr/en/#.XCNfiM8zY6g,info@violak.gr,30210 77 09 026/30 210 770 0622,Contract Award,y,20/2/2019,Cold called and sent an e-mail.,
78,Envivo Healthcare S.A.,Greece,Potential Customer,Distributor,Etroos 20 153 44 Gerakas,,marketing@insidemedical.gr,30210 60 13 720,Contract Award,y,21/2/2019,Cold called and sent an e-mail.,
79,Sciba,Greece,Potential Customer,Distributor,38 G.PAPANDREOU Str. 157 73 Zografos Athens Greece,https://sciba.gr,vskiadiotis@sciba.gr (Sales Manager),30 210 7473440,Contract Award,n,,,
80,Medical Lite,Greece,Potential Customer,Distributor,Μeg. Alexandrou 7-9 Piraeus,http://www.medical-lite.gr/products6.php?lang=1&wh=1&trig=1&the1id=169&the2id=172&theid=172&open1=169&open2=172&menu=1&lang=2,info@medical-lite.gr,0030 210 4223811-2-3,Contract Award,n,,,
81,Inex Medical,Greece,Potential Customer,Distributor,,http://inexmedical.gr/?lang=EN,sales@inexmedical.gr,30210-6630269,Contract Award,y,21/2/2019,Cold called and they said that they were currently not interested.,
82,Ducasco,Greece,Potential Customer,Distributor,,http://ducasco.gr/?product_cat=surgical-gowns-surgical-drapes-sets&lang=en,info@ducasco.gr,(+30) 210 2447410,Contract Award,y,21/2/2019,Cold called and sent an e-mail.,They sell surgical drapes have microscope cover but only one size
83,Novomed,Hungary,Potential Customer,Distributor,,none,,36 1 203 6906,Contract award,n,,,Lost tender for Microscope Drape to Molnlycke M price was $7.17 Novomed was $12.54
84,Electro-Oxygen Ltd.,Hungary,Current Customer - Medbar,Distributor,Budapest Temesvár u. 20 1116 Ungheria,http://www.eo.hu,,,Fair,n,,,
85,Sutura,Hungary,Potential Customer,Distributor,1097 Budapest Gubacsi út 47,http://www.sutura.hu/altalanos-ellatasi-apolasi-es-higieniai-eszkoezoek.html,info@sutura.hu,36(1) 303 29 54/36 (1) 477 0189,Contract Award,y,21/2/2019,Cold called and sent an e-mail.,
86,Dispomedicor,Hungary,Potential Customer,Distributor,98 Füredi Road H-4032 Debrecen Hungary,http://www.dispomedicor.hu/termekek/Infúzió%20eszközei,sales@dispomedicor.hu,(+36)-52/522-920,Contract Award,n,,,
87,Clinical Plastic Products (CPP),Hungary,Potential Customer,Distributor,1145 Budapest Amerikai út 33.,http://cppbudapest.hu,cppbudapest@cppbudapest.hu,36 1 422 37 00,Contract Award,y,13/2/19,Cold called and sent an e-mail.,
88,Medys,Hungary,Potential Customer,Distributor,1034 Budapest Zápor utca 2 / c,http://medysrt.wixsite.com/medys,info@medys.hu,36-1-348-0570,Contract Award,y,20/2/2019,,
89,Shani Tal Marketing Ltd.,Israel,Potential Customer,Distributor,Imber 7 Kiryat Arie Petach Tikva HaMerkaz Israel,,,972-03-9314177,Internet,n,,,
90,AIESI Hospital,Italy,Current Customer - Medbar,Distributor,Via Fontanelle al Trivio 60 - 80141 - Napoli (Italy),https://www.aiesi.it,direzione@aiesi.it,,Referral,n,,,
91,DMR SRL,Italy,Potential Customer,Distributor,Via Ajaccio - 00198 Roma,https://www.dmrsrl.it,info@dmrsrl.it,+39 06 85.51.791 ,Fair,n,,,
92,EFFEBI Hospital,Italy,Current Customer - Medbar,Distributor,VIA TESSARA 78 -  35010 - CURTAROLO (PD) - Italy,http://www.effebihospital.com/en/company,info@effebihospital.it,,Referral,n,,,
93,Eurospital,Italy,Potential Customer,Manufacturer,VIA FLAVIA 122  - 34147 TRIESTE (TS) - Italy,http://www.eurospital.com,,+39 040 8997.1,,n,,,
94,KERNA SRL,Italy,Potential Customer,Distributor,Via Massiego 4 - 31032 Casale sul Sile (TV),http://news.kerna.it,info@kerna.it,+39 0422 821 312,Internet,n,,,
95,KNOW MEDICAL,Italy,Potential Customer,Manufacturer,Via Guido Rossa 36  Zona Industriale Gerbolina - 46019 Viadana (MN),http://www.knowmedical.com,,+39 0375 781774,Referral,n,,,
96,M.C.T. Distribution Service,Italy,Potential Customer,Distributor,Via Giovanni XXIII n.152 - 89013 Gioia Tauro (RC),https://www.mctgt.it,info@mctgt.it,+39 0966 046170,Fair,n,,,
97,Med-Italia Srl,Italy,Potential Customer,Wholesaler Local,Via P.Gobetti 56r 16145 Genova – Italy,http://www.meditalia.net,meditalia@meditalia.net, +39 010 30801,Fair,n,,,
98,Medical Device Srl,Italy,Potential Customer,Wholesaler Local,Via della Tecnica 52 - 52025 Montevarchi (AR),http://www.medicaldevice.it,,+39 055 9789858,Fair,n,,,
99,Omnia Spa,Italy,Potential Customer,Wholesaler Global,Via Francesco Delnevo 190  - Loc. S. Michele Campagna - 43036 Fidenza (Parma),https://www.omniaspa.eu,info@omniaspa.eu,+39 0524 527453 ,Internet,n,,26.10.18 - Mariana emailed. ,Interested in Impregnated Surgical Hand Brush Dry Sterile Surgical Hand Brush Fecal Parasite Concentrator Valve Urine Bag Endo Clean Sponge Camera Covers C-Arm Drape Arterial Cannula  Wants LOA documents pricies. Offered her everything except Brushes and Endo Clean Sponge because Grin said they are applying for a tender with these products. Sent Price-list for the rest of the products also added C-Arm and LHC video links. Sent ISO CE LOA.
100,Rımos,Italy,Potental Partner,Manufacturer,,https://www.rimos.com,,,,n,,,
101,U.JET Srl,Italy,Potential Customer,Manufacturer,via san Francescuccio  de' Mietitori 32 - 06083 - Bastia Umbra (PG),http://www.ujet.it,info@ujet.it,+39 075 8004025,Fair,n,,,
102,Sipo Srl,Italy,Potential Customer,Distributor,Via Montieri 1 - 00148 Roma ,http://www.siposrl.com,info@siposrl.com,(+39) 06 51957055,Fair,n,,,Father and Son together son was speaking English not the father. They were really friendly interested in Scrub Brushes. However I explained that Medline has exclusivity also there are Italian manufacturers like Nex and Coremec so it would be hard to compete with them in their own market. I told him that we could offer them the Dry at a good price though so they took our card and USB. Simone can add them to the list of potential distributors.
103,3C Endo-Technology,Italy,Potential Customer,Distributor,Via Santa Maria 18 - 00060 Sacrofano (Roma),https://www.3cendo.it,info@3cendo.it,+39 06 9039184,Fair,n,,,They were interested in our Mouthpieces in particular asked for our pricing. Said they are selling the Mouthpieces at the moment from another supplier for $.28. They mentioned that the Pediatric version should not contain the circular opening on the end side. Simone can contact them however do to Aiesi it seems unlikely that we can supply them as well.
104,Cam Hospital,Italy,Potental Partner,Manufacturer,Pontecagnano Faiano Via Irno Snc Salerno (SA) – 84098,http://www.camhospital.it,camhospital@pec.it,,,n,,,
105,A. Medical,Latvia,Potential Customer,Distributor,,,info@amedical.eu,371 661 030 03,Contract award,y,20/2/2019,Cold called and sent an e-mail.,Won bid for C-arm drapes. Based in Latvia Estonia and Lith. distributes to all Balkan countries. Sent open tenders before no response.
106,Arbor Medical Korporacija,Latvia,Potential Customer,Distributor,,https://arbor.lv/lv,arbor@arbor.lv,371 67620126  371 67620179,Contract award,y,21/2/2019,Cold called and sent an e-mail.,
107,DM Premium,Latvia,Potential Customer,Distributor,,http://www.dmpremium.com,dmpremium@inbox.lv,,Contract award,n,,,
108,Elvim,Latvia,Potential Customer,Distributor,,http://www.elvim.lv/en,frontoffice@elvim.iv/hq@elvim.lv,371-67 808 450,Contract award,y,28/2/2019,Cold called and sent an e-mail.,
109,Medeksperts,Latvia,Potential Customer,Distributor,,http://www.medeksperts.lv/index.html,info@medeksperts.lv,37167508612,Contract award,y,28/2/2019,Cold called and sent an e-mail.,
110,Medika GN,Latvia,Potential Customer,Distributor,,,,371 27546050,Contract award,n,,,
111,Medilink,Latvia,Potential Customer,Distributor,,http://www.medilink.lv,,6784 0380,Contract award,n,,,
112,Mediq Latvija,Latvia,Potential Customer,Distributor,,https://www.mediq.lv,,,Contract award,n,,,
113,R.A.L.,Latvia,Potential Customer,Distributor,,http://www.ral.lv,ral85@inbox.lv,37167316372,Contract award,y,28/2/2019,Cold called and sent an e-mail.,Supplied by Spiggle and Theis for equipment drapes
114,Remedine,Latvia,Potential Customer,Distributor,,http://www.remedine.lv,,371 67161039,Contract Award,y,,,Bid for Light handle covers lot only (unit price: $0.65).
115,TZMO Latvija,Latvia,Potential Customer,Distributor,,https://tzmo.lv/lv_LV,,,Contract award,n,,,Won bid for microscope covers. https://tzmo.lv/lv_LV
116,Barameda,Lithuania,Potential Customer,Distributor,,http://barameda.com,info@barameda.com,370 684 80614    370 650 96966,Contract award,y,28/2/2019,Cold called and sent an e-mail.,Won bid for camera covers.
117,Evomeda,Lithuania,Potential Customer,,,,esimkus@nmies.com,37 068 682 413,Internet,y,,13/12/18 Cold called and sent e-mail with catalogue. videos and prezi.,
118,Toksa,Lithuania,Potential Customer,Distributor,Artojų g. 53273 Lithuania,https://toksa.lt/#about,ausra@toksa.it,370 652 82 880,Fair,n,,,Said they purchase our Skin Marking Set from Zarys. Were particularly interested in our LHCs. Took our catalog and left because they said they had a meeting with another company. Nevertheless they were very interested and wanted to stay longer to speak about our products.
